filename,path,sharpness_score
168.jpg,Original_Dataset/Orignal-Dataset\Laterite_Soil\168.jpg,206.25542296836517
213b.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\213b.jpg,211.58962213478588
89.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\89.jpg,223.61899886730419
19.jpg,Original_Dataset/Orignal-Dataset\Yellow_Soil\19.jpg,223.79875091079143
190.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\190.jpg,225.91750660473667
211.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\211.jpg,230.0542496035866
2.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\2.jpg,231.74052548197474
80.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\80.jpg,232.51155397574257
128.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\128.jpg,234.12626001249012
26.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\26.jpg,234.80152690609344
41b.jpg,Original_Dataset/Orignal-Dataset\Yellow_Soil\41b.jpg,234.88675502080937
63.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\63.jpg,239.7821587353734
166.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\166.jpg,239.84790027685128
95.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\95.jpg,242.1847930355853
188.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\188.jpg,243.27384920447278
109.jpg,Original_Dataset/Orignal-Dataset\Laterite_Soil\109.jpg,249.69669246278653
138.jpg,Original_Dataset/Orignal-Dataset\Laterite_Soil\138.jpg,251.40198125367945
235.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\235.jpg,259.3106427707567
174.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\174.jpg,261.23831310993074
115.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\115.jpg,264.1108397894805
85.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\85.jpg,276.1889057759157
46.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\46.jpg,278.40844420690615
154.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\154.jpg,278.40844420690615
45.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\45.jpg,278.60367848997686
97a.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\97a.jpg,278.8317582176798
23.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\23.jpg,280.2908522404383
134.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\134.jpg,280.2908522404383
80a.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\80a.jpg,280.91830302939155
133.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\133.jpg,284.3586108170314
29.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\29.jpg,294.4832727675142
20.jpg,Original_Dataset/Orignal-Dataset\Alluvial_Soil\20.jpg,297.11976462586387
91.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\91.jpg,300.15935281101673
45.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\45.jpg,303.5413340872757
157.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\157.jpg,303.9706962575425
39.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\39.jpg,309.77085458116017
